YEAR,MONTH,DATE,SITE,TRANSECT,SECTION,SIDE,SP_CODE,SIZE,COUNT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/10/2018,HORA,1,0-20,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,0-20,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,OFF,LHIR,1,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,1,0-20,OFF,CLIN,9,1,144,,CC,LM/IG
2018,9,9/11/2018,STEP,1,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,1,21-40,IN,OPIC,8,1,144,,CC,LM/IG
2018,9,9/11/2018,STEP,1,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,2,0-20,OFF,CLIN,6,1,144,,CC,LM/IG
2018,9,9/11/2018,STEP,2,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,2,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,2,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,3,0-20,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,3,21-40,OFF,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,3,21-40,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,STEP,3,0-20,IN,NF,0,0,144,,CC,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,OFF,CLIN,4,1,144,,CC,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,OFF,CLIN,5,1,144,,CC,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,OFF,CLIN,10,1,144,,CC,LM/IG
