YEAR,MONTH,DATE,SITE,TRANSECT,SECTION,SIDE,FRONDS,HLD_DIAM,MULT_PLANT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/21/2018,AQUE,6,20-40,INSHORE,83,110,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,0-20,INSHORE,23,110,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,0-20,INSHORE,24,110,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,0-20,INSHORE,76,95,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,0-20,INSHORE,18,92,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,0-20,OFFSHORE,7,65,,36,,TW,RZ
2018,9,9/21/2018,AQUE,6,20-40,OFFSHORE,34,115,,36,,TW,RZ
2018,9,9/11/2018,GOLB,3,0-20,INSHORE,52,45,,1905,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,INSHORE,121,90,,1905,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,20-40,INSHORE,44,50,,1905,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,20-40,OFFSHORE,29,40,,1905,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,OFFSHORE,157,120,,1905,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,0-20,OFFSHORE,51,50,,1905,,IG,LM/IG
2018,9,9/10/2018,HORA,1,0-20,INSHORE,50,75,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,INSHORE,5,30,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,61,80,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,45,80,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,11,35,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,18,45,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,13,70,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,29,52,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,1,0-20,OFFSHORE,93,72,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,0-20,INSHORE,74,50,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,0-20,INSHORE,72,75,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,INSHORE,43,40,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,OFFSHORE,180,140,,1905,"holdfast in, over 50% of plant past 40m mark",CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,INSHORE,41,45,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,21-40,OFFSHORE,22,35,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,2,0-20,OFFSHORE,123,75,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,OFFSHORE,7,15,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,OFFSHORE,58,80,,1905,next to 2 ripped up plants,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,OFFSHORE,52,50,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,3,0-20,OFFSHORE,24,40,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,3,21-40,OFFSHORE,61,60,,1905,,CC,LM/IG
2018,9,9/10/2018,HORA,3,21-40,OFFSHORE,91,75,,1905,,CC,LM/IG
2018,9,9/25/2018,INNP,1,20-40,OFFSHORE,56,110,,36,,TW,RZ
2018,9,9/25/2018,INNP,1,20-40,OFFSHORE,48,95,,36,,TW,RZ
2018,9,9/25/2018,INNP,1,0-20,INSHORE,17,45,,36,,TW,RZ
2018,9,9/25/2018,INNP,1,0-20,INSHORE,16,80,,36,,TW,RZ
2018,9,9/25/2018,INNP,1,0-20,INSHORE,4,40,,36,,TW,RZ
2018,9,9/25/2018,INNP,1,0-20,OFFSHORE,3,25,,36,,TW,RZ
