YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,SP_CODE,COUNT,SIZE,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/11/2018,GOLB,3,IN 2O,CYOS,14,.,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,IN 40,CYOS,6,.,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 40,CYOS,10,.,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 20,CYOS,16,.,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,IN 40,EGME,2,5,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 40,EGME,3,13,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 20,EGME,2,2,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,IN 2O,MECR,1,10,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 20,MECR,1,10,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,IN 2O,OCTO,1,10,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,IN 2O,PAIN,1,6.8,144,,IG,LM/IG
2018,9,9/11/2018,GOLB,3,OFF 20,PAIN,1,7.5,144,,IG,LM/IG
2018,9,9/10/2018,HORA,1,IN 20,KEKE,4,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,OFF 40,OCTO,1,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,OFF 20,PAIN,1,6,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,IN 20,PTCA,57,2,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,IN 40,PTCA,2,8,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,OFF 40,PTCA,6,9,144,,CC,LM/IG
2018,9,9/10/2018,HORA,1,OFF 20,PTCA,16,2,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 40,CYOS,3,.,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,OFF 40,CYOS,3,.,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 20,KEKE,2,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 40,KEKE,1,11,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,OFF 20,KEKE,2,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,OFF 20,LOGR,1,16,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 40,PGL,1,22,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 20,PTCA,3,12,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 40,PTCA,11,7,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,OFF 40,PTCA,10,9,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,OFF 20,PTCA,2,11,144,,CC,LM/IG
2018,9,9/10/2018,HORA,2,IN 20,PUPR,1,3,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,IN 20,CYOS,4,.,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,IN 40,CYOS,2,.,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,OFF 20,CYOS,15,.,144,,CC,LM/IG
2018,9,9/10/2018,HORA,3,IN 20,KEKE,1,8,144,,CC,LM/IG
