SP_CODE,BMASS_SP,GROUP,Guild,X_Variable,Y_Variable,Slope,Intercept,r2,ConvertoXVar,RelationToMeasuredTaxon,FISH_GROUP,References,Notes
AHOL,CLIN,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.21,0.0000046,,0.9,Genus,Actinopterygii,"Quast, 1968b; Feder et al., 1974*",model = G. metzi
ANDA,DVAC,FISH,MESOCARNIVORE,total length (mm),Wet mass g,3.19,0.000005,,,species,Actinopterygii,DeMartini (unpub. Data)*,
AUFL,AUFL,FISH,MICROCARNIVORE,total length (cm),Wet mass g,3.43,0.0004,,,species,Actinopterygii, fishbase.org,"Bayer, 1980"
BFRE,BFRE,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.17,0.000012,,0.79,species,Actinopterygii,DeMartini (unpub. Data)*,fish > 65mm SL
BOTH,PCAL,FISH,MESOCARNIVORE,total length (mm),Wet mass g,3.03,0.0000085,,,species,Actinopterygii,J. Schott (unpub. Data)*,
BRAY,BRAY,FISH,MESOCARNIVORE,disc width (mm),Wet mass g,3.04,0.000014,,1.35,species,Chondrichthyes,"Tetratech (unpub. Data); L. Martin, 1982*",
CAGG,EJAC,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.31,0.0000083,,0.8,species,Actinopterygii,"Quast, 1968b; Eckmayer, 1979*",
CAPR,CAPR,FISH,MICROCARNIVORE,total length (cm),Wet mass g,3,0.0239,,,species,Actinopterygii, fishbase.org,
CLIN,CLIN,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.21,0.0000046,,0.9,Genus,Actinopterygii,"Quast, 1968b; Feder et al., 1974*",model = G. metzi
CNIC,CNIC,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.1,0.0000083,,0.84,Family,Actinopterygii,"Grossman, 1979; Wiley, 1973*",model =  Lepidogobius lepidus (Bay goby)
COTT,CNIC,FISH,MICROCARNIVORE,standard length (mm),Wet mass g,3.1,0.0000083,,0.84,Family,Actinopterygii,"Grossman, 1979; Wiley, 1973*",model =  Lepidogobius lepidus (Bay goby)
CPUN,CPUN,FISH,PLANKTIVORE,standard length (mm),Wet mass g,3.09,0.000018,,0.8,species,Actinopterygii,"Quast, 1968b; Feder et al., 1974; Gotshall, 1977; Burgess & Axelrod, 1984*",
CSAT,CSAT,FISH,MESOCARNIVORE,total length (mm),Wet mass g,3.016,0.013,0.93,,species,Actinopterygii,fishbase.org,
CSTI,PCAL,FISH,MESOCARNIVORE,total length (mm),Wet mass g,3.03,0.0000085,,,species,Actinopterygii,J. Schott (unpub. Data)*,
