SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,SPP_CHANGE,START_NA,END_NA,LUMP_TO,NA_NOTE,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
ND,.,No detritus ,.,.,.,.,.,DETRITUS,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,QUAD,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,SWATH,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NOSP,.,no species present,.,.,.,.,.,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NF,.,no fish present,.,.,.,.,FISH,CRYPTIC FISH,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NF,.,no fish present,.,.,.,.,FISH,FISH,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
B,.,Bedrock,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BL,.,Boulder Large,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BM,.,Boulder Medium,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BS,.,Boulder Small,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
C,.,Cobble,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
HOLES,.,holes,.,.,.,.,SUBSTRATE,QUAD,REMOVE,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ROCK,.,rock,.,.,.,.,SUBSTRATE,QUAD,REMOVE,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
S,.,Sand,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SH,.,Shell debris,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
SS,.,Shallow Sand,.,.,.,.,SUBSTRATE,UPC,KEEP,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AB,Abietinaria,Coarse Sea Fir Hydroid,AB,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,117225,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,.,.
HC,Acanthancora cyanocrypta,Cobalt Sponge,HC,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,169126,Species,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Acanthancora,Hymenamphiastra,cyanocrypta
AU,Acrosorium ciliolatum,.,AU,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,295874,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,Acrosorium,uncinatum
AU,Acrosorium ciliolatum,.,AU,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,295874,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Acrosorium,Acrosorium,uncinatum
NEO,Agardhiella subulata,.,NEO,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145677,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Agardhiella,.,.
AS,Aglaophenia,Ostrich-Plume Hydroid,AS,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,116999,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,.,.
AHOL,Alloclinus holderi,Island Kelpfish,AHOL,.,3,14,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,279560,Species,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Alloclinus,.,.
BOW,Amathia gracilis,.,BOW,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,851589,Species,Animalia,Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,.,.
ATM,Amphipoda,Amphipod tube mat,ATM,.,.,.,INVERT,UPC,KEEP,,,,,MESOCARNIVORE,HARD,SESSILE,AGGREGATED,1135,Order,Animalia,Arthropoda,Malacostraca,Amphipoda,.,.,.,.
AMZO,Amphiroa beauvoisii,.,AMZO,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,145097,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,.,.
ANPA,Anisocladella pacifica,.,ANPA,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,373900,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Anisocladella,.,.
ANPA,Anisocladella pacifica,.,ANPA,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,373900,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Anisocladella,.,.
ANDA,Anisotremus davidsonii,Sargo,ANDA,.,8,44,FISH,FISH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,279617,Species,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Anisotremus,.,.
ANSP,Anthopleura,Aggregating anemone,ANSP,.,0.1,15,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,100696,Genus,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANSP,Anthopleura,Aggregating anemone,ANSP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,100696,Genus,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANAR,Anthopleura artemisia,Moonglow Anemone,ANAR,.,.,.,INVERT,QUAD,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,283337,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANAR,Anthopleura artemisia,Moonglow Anemone,ANAR,.,.,.,INVERT,UPC,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,283337,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANSO,Anthopleura sola,Aggregating anemone,ANSO,.,.,.,INVERT,UPC,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,240753,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
UNAN,Anthozoa,Unidentified anemone,UNAN,.,.,.,INVERT,QUAD,REMOVE,,,,Remove - counted in 2003-2004 in addition to ANAR; may have been Phyllactis,PLANKTIVORE,HARD,SESSILE,SOLITARY,1292,Class,Animalia,Cnidaria,Anthozoa,.,.,.,.,.
UNAN,Anthozoa,Unidentified anemone,UNAN,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,1292,Class,Animalia,Cnidaria,Anthozoa,.,.,.,.,.
