YEAR,MONTH,DATE,SITE,TRANSECT,DISTANCE,SIDE,SP_CODE,POSITION,SUBSTRTE,SAND_DEPTH,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/10/2018,HORA,1,1,I,MH,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,2,I,PU,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,3,I,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,4,I,MH,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,5,I,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,6,I,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,7,I,MH,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,7,I,TC,2,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,8,I,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,9,I,R,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,10,I,CHPR,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,11,I,.,1,S,4,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,12,I,.,1,S,6,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,13,I,.,1,S,5,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,14,I,.,1,S,6,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,15,I,.,1,S,3,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,16,I,.,1,S,11,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,17,I,.,1,S,10,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,18,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,19,I,.,1,S,15,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,20,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,21,I,.,1,S,14,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,22,I,DL,1,S,10,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,23,I,DL,1,S,11,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,24,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,25,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,26,I,.,1,S,10,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,27,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,28,I,.,1,S,6,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,29,I,.,1,S,5,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,30,I,.,1,S,6,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,31,I,.,1,S,4,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,32,I,.,1,S,5,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,33,I,GS,1,S,4,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,34,I,.,1,S,5,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,35,I,.,1,S,2,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,36,I,DIOR,1,SS,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,36,I,NA,2,SS,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,37,I,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,38,I,.,1,SS,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,39,I,.,1,S,12,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,40,I,.,1,S,10,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,1,O,NA,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,2,O,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,3,O,PACA,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,4,O,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,5,O,POLA,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,6,O,ECB,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,7,O,.,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,8,O,MH,1,B,0,36,,CC,LM/IG
2018,9,9/10/2018,HORA,1,9,O,NA,1,B,0,36,,CC,LM/IG
