YEAR,MONTH,DATE,SITE,VIS,TRANSECT,SP_CODE,SIZE,COUNT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/10/18,HORA,2.3,1,PCLA,22,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,26,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,28,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,32,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,15,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,12,8,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PCLA,5,3,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PFUR,17,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,PFUR,18,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,OCAL,12,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,OCAL,11,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,OCAL,10,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,1,BRAY,120,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,PCLA,25,3,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,PCLA,28,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,PCLA,20,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,PCLA,18,6,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,BFRE,12,4,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,EJAC,20,3,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,EJAC,22,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,EJAC,16,1,36,,CC,LM/IG
2018,9,9/10/18,HORA,2.3,2,HCAR,15,1,36,,CC,LM/IG
