YEAR,MONTH,DATE,SITE,TRANSECT,SIDE,QUAD,SP_CODE,COUNT,SIZE,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/10/18,HORA,1,OFF,0,DIOR,14,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,0,PACA,39,1.7,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,0,PTJ,14,35,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,0,COCA,8,1.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,0,OPSP,14,0.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,0,ANSP,1,4,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,DIOR,3,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,PACA,7,1.9,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,PTJ,13,30,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,COCA,4,1.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,ANSP,2,3.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,STMO,11,1,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,8,PTL,4,45,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,16,NOSP,0,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,24,NOSP,0,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,OFF,32,DIOR,10,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,1,ON,40,NOSP,0,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,0,PACA,54,1.9,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,0,DIOR,2,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,8,DIOR,13,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,16,PACA,5,1.6,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,16,DIOR,22,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,16,COCA,13,1.4,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,24,PACA,24,1.9,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,24,DIOR,5,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,24,COCA,3,1.1,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,32,PACA,18,1.7,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,32,DIOR,11,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,OFF,32,COCA,8,1,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,40,DIOR,3,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,40,COCA,5,1.2,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,40,OPSP,130,0.4,142,,CC,LM/IG
2018,9,9/10/18,HORA,2,ON,40,EUQU,1,1,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,0,DIOR,11,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,0,PACA,6,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,0,PU,19,1.2,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,DIOR,9,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,PACA,115,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,PU,23,1.2,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,COCA,15,1.4,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,PTJ,3,14,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,PTL,3,30,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,8,STMO,2,1.4,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,DIOR,12,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,PACA,83,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,PU,34,1.2,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,COCA,12,1.1,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,PTJ,4,12,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,PTL,2,28,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,STMO,2,1,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,16,ANSP,1,2,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,24,DIOR,14,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,24,PACA,46,1.7,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,24,PU,23,1.3,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,24,COCA,7,1.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,24,ANSP,2,3,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,DIOR,13,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,PACA,34,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,PU,12,1.2,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,COCA,23,1.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,PRUB,130,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,PTJ,9,17,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,PTL,1,33,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,STMO,2,0.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,ANSP,2,3.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,DPSN,45,0.9,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,OFF,32,SPL,1,4.5,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,40,DIOR,6,.,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,40,PACA,27,1.8,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,40,PU,11,1.3,142,,CC,LM/IG
2018,9,9/10/18,HORA,3,ON,40,COCA,3,1.4,142,,CC,LM/IG
2018,9,9/11/18,STEP,1,OFF,0,STMO,6,1.8,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,0,EUPU,2,0.8,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,0,ANSP,2,3.1,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,0,COCA,7,1.5,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,8,STMO,5,1.6,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,8,DIOR,3,.,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,8,ANSP,1,3.8,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,8,COCA,2,2,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,STMO,12,1.5,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,ANSP,3,2.4,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,COCA,12,1.5,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,SPL,9,4.2,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,NONO,1,4.5,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,SFL,1,6.4,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,CYSP,1,5.2,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,OFF,16,MIID,2,3,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,24,STMO,14,1.8,142,,LM,LM/IG
2018,9,9/11/18,STEP,1,ON,24,ANSP,3,4.4,142,,LM,LM/IG
