YEAR,MONTH,DATE,SITE,TRANSECT,SP_CODE,DENSITY,WM_GM2,DRY_GM2,AFDM,SCIENTIFIC_NAME,COMMON_NAME,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,GROUP,SURVEY,MOBILITY,GROWTH_MORPH
2018,9,2018-09-03,OAKS,1,ANDA,0,0,0,0,Anisotremus davidsonii,Sargo,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Anisotremus,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,BFRE,0,0,0,0,Brachyistius frenatus,Kelp Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,BOTH,0,0,0,0,Bothid,Unidentified Flatfish spp.,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,NA,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,BRAY,0,0,0,NA,Myliobatis californica,Bat Ray,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,DVAC,0,0,0,0,Rhacochilus vacca,Pile Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,EJAC,0,0,0,0,Embiotoca jacksoni,Black Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,HARG,0,0,0,0,Hyperprosopon argenteum,Walleye Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,HCAR,0,0,0,0,Hypsurus caryi,Rainbow Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hypsurus,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,HROS,0,0,0,0,Heterostichus rostratus,Giant Kelpfish,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,HRUB,0,0,0,0,Hypsypops rubicundus,Garibaldi,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,HSEM,0,0,0,0,Halichoeres semicinctus ,Rock Wrasse,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,MCAL,0,0,0,0,Medialuna californiensis,Halfmoon,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,OCAL,0.225,10.18,2.5959,2.0869,Oxyjulis californica,Senorita,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,PCAL,0,0,0,0,Paralichthys californicus,California Halibut,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,PCLA,0.1,42.96,10.9548,8.8068,Paralabrax clathratus,Kelp Bass,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,FISH,FISH,MOBILE,SOLITARY
2018,9,2018-09-03,OAKS,1,PFUR,0,0,0,0,Phanerodon furcatus,White Surfperch,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,FISH,FISH,MOBILE,SOLITARY
