YEAR,MONTH,DATE,SITE,TRANSECT,SP_CODE,PERCENT_COVER,DENSITY,WM_GM2,DRY_GM2,SFDM,AFDM,SCIENTIFIC_NAME,COMMON_NAME,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,GROUP,SURVEY,MOBILITY,GROWTH_MORPH
2018,9,9/11/2018,GOLB,3,AB,0,NA,0,0,0,0,Abietinaria,Coarse Sea Fir Hydroid,Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,INVERT,UPC,SESSILE,AGGREGATED
2018,9,9/11/2018,GOLB,3,AL,0,NA,0,0,0,0,Astrangia haimei,Aggregating cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Rhizangiidae,Astrangia,INVERT,UPC,SESSILE,AGGREGATED
2018,9,2018-09-11,GOLB,3,AML,NA,0,0,0,0,0,Patiria miniata,Bat Star,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,INVERT,SWATH,MOBILE,SOLITARY
2018,9,2018-09-11,GOLB,3,AMS,NA,0,0,0,0,0,Patiria miniata,Bat Star,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,INVERT,QUAD,MOBILE,SOLITARY
2018,9,2018-09-11,GOLB,3,ANSP,NA,0.833333333333333,9.06360442291893,1.71302123593168,1.71302123593168,1.45017670766703,Anthopleura,Aggregating anemone,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,INVERT,QUAD,SESSILE,AGGREGATED
2018,9,2018-09-11,GOLB,3,APCA,NA,0,0,0,0,0,Aplysia californica,California Brown Sea Hare,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,INVERT,SWATH,MOBILE,SOLITARY
2018,9,9/11/2018,GOLB,3,AR,0,NA,0,0,0,0,Eudistoma psammion,Sand Turnicate,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,INVERT,UPC,SESSILE,AGGREGATED
2018,9,9/11/2018,GOLB,3,AS,1.25,NA,0.27131875,0.04558155,0.031472975,0.02794583125,Aglaophenia,Ostrich-Plume Hydroid,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,INVERT,UPC,SESSILE,AGGREGATED
2018,9,9/11/2018,GOLB,3,ATM,0,NA,0,0,0,0,Amphipoda,Amphipod tube mat,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,NA,INVERT,UPC,SESSILE,AGGREGATED
2018,9,2018-09-11,GOLB,3,BAEL,NA,0,0,0,0,0,Balanophyllia elegans,Orange Cup Coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,INVERT,QUAD,SESSILE,AGGREGATED
