"year","month","site","transect","sp_code","percent_cover","density","dry_gm2","scientific_name","common_name","group","mobility","growth_morph","coarse_grouping","id","patch"
2018,7,"NAPL",1,"AB",0,NA,0,"Abietinaria","Coarse Sea Fir Hydroid","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AHOL",NA,0,0,"Alloclinus holderi","Island Kelpfish","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"AL",0,NA,0,"Astrangia haimei","Aggregating cup Coral","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AML",NA,0.1,1.64167531744246,"Patiria miniata","Bat Star","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AMZO",0,NA,0,"Amphiroa beauvoisii",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"ANDA",NA,0,0,"Anisotremus davidsonii","Sargo","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"ANSP",NA,0.833333333333333,3.42817704222239,"Anthopleura","Aggregating anemone","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"APCA",NA,0,0,"Aplysia californica","California Brown Sea Hare","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"APVA",NA,0,0,"Aplysia vaccaria","California Black Sea Hare","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AR",0,NA,0,"Eudistoma psammion","Sand Turnicate","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"ARUD",0,NA,0,"Discophyton rudyi","Octocoral","INVERT","SESSILE","SOLITARY","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AS",0,NA,0,"Aglaophenia","Ostrich-Plume Hydroid","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"ATM",1.25,NA,0.00439085625,"Amphipoda","Amphipod tube mat","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"AU",0,NA,0,"Acrosorium ciliolatum",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"AUFL",NA,0,0,"Aulorhynchus flavidus","Tube-Snout","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"BA",0,NA,0,"Megabalanus californicus","Barnacles","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"BAEL",NA,1.16666666666667,1.06616580523653,"Balanophyllia elegans","Orange Cup Coral","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"BCAL",0,NA,0,"Bugulina californica","Spiral Bryozoan","INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"BF",0,NA,0,"Cryptopleura ruprechtiana","Grape Tounge","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"BFRE",NA,0,0,"Brachyistius frenatus","Kelp Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"BLD",NA,0,0,"Lessoniaceae","Blade Unidentified kelp juveniles","ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"BN",3.75,NA,0.1605953175,"Bugula neritina",NA,"INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"BO",0,NA,0,"Bossiella orbigniana",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"BOTH",NA,0,0,"Bothid","Unidentified Flatfish spp.","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"BOW",0,NA,0,"Amathia gracilis",NA,"INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"BR",0,NA,0,"Rhodophyceae","Blady red","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"BRA",0,NA,0,"Rhodophyceae","Branching Red Algae","ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"BRAY",NA,0,0,"Myliobatis californica","Bat Ray","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"BRSP",0,NA,0,"Barentsia",NA,"INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CAGG",NA,0,0,"Cymatogaster aggregata","Shiner Surfperch","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CAL",0,NA,0,"Calliarthron cheilosporioid",NA,"ALGAE","SESSILE","AGGREGATED","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CAPR",NA,0,0,"Caulolatilus princeps","Ocean Whitefish","FISH","MOBILE","SOLITARY","FISH","NAPL1","181"
2018,7,"NAPL",1,"CASP",NA,0,0,"Cancer","Cancer Crab","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CC",3.75,NA,6.3375,"Chondracanthus ",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CECO",NA,0,0,"Centrostephanus coronatus","Crowned Sea Urchin","INVERT","MOBILE","SOLITARY","MOBILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CESP",0,NA,0,"Cellaria",NA,"INVERT","SESSILE","AGGREGATED","SESSILE INVERT","NAPL1","181"
2018,7,"NAPL",1,"CF",0,NA,0,"Callophyllis flabellulata",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
2018,7,"NAPL",1,"CG",0,NA,0,"Cladophora graminea",NA,"ALGAE","SESSILE","SOLITARY","UNDERSTORY ALGAE","NAPL1","181"
