"YEAR","MONTH","DATE","SITE","TRANSECT","QUAD","SIDE","SP_CODE","PERCENT_COVER","SCIENTIFIC_NAME","COMMON_NAME","TAXON_KINGDOM","TAXON_PHYLUM","TAXON_CLASS","TAXON_ORDER","TAXON_FAMILY","TAXON_GENUS","GROUP","SURVEY","MOBILITY","GROWTH_MORPH"
2018,9,"2018-09-10","HORA",1,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",1,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",1,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",1,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",2,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",2,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",2,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",2,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",3,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",3,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",3,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-10","HORA",3,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","GOLB",3,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","GOLB",3,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","GOLB",3,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","GOLB",3,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",1,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",1,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",1,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",1,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",2,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",2,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",2,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",2,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",3,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",3,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",3,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-11","STEP",3,40,"O","AB",5,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",9,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",9,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",9,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",9,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",10,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",10,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",10,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",10,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",11,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",11,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",11,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","IVEE",11,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","MESA",1,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","MESA",1,20,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","MESA",1,40,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-12","MESA",1,40,"O","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
2018,9,"2018-09-13","MESA",2,20,"I","AB",0,"Abietinaria spp.","Coarse Sea Fir Hydroid","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","INVERT","UPC","SESSILE","AGGREGATED"
