SITE,TRANSECT,LATITUDE,LONGITUDE,BEARING,DATE,DEPTH,VIS
GOLB,3,-119.8193667006,34.4140333256622,90,2018-09-11,5.6,2.1
HORA,1,-119.781766700308,34.4112333310545,96,2018-09-10,9.1,2.4
HORA,2,-119.78018330015,34.4090500004896,120,2018-09-10,11.9,2.7
HORA,3,-119.777983300306,34.4089333305381,140,2018-09-10,11.3,2.4
INNP,1,-119.954483299724,34.4325166694113,90,2018-09-25,7.5,3.7
INNP,2,-119.950500000457,34.4323499998017,90,2018-09-25,5.5,3.7
INNP,3,-119.945623258083,34.431836557793,90,2018-09-25,9.8,3
IVEE,10,-119.854433300062,34.4032999956876,90,2018-09-12,9.9,1.2
IVEE,11,-119.852233300025,34.4032499969003,90,2018-09-12,9.7,2.4
IVEE,9,-119.862900000353,34.4031999968706,90,2018-09-12,8.1,2.4
LEAD,1,-119.70001670013,34.396150001678,90,2018-09-14,6,2.7
LEAD,2,-119.699799999821,34.3969666665255,90,2018-09-14,5.7,2.4
LEAD,3,-119.698200000688,34.3968833261134,90,2018-09-14,7.2,2.4
MESA,1,-119.809249999466,34.4139833330622,NA,2018-09-12,7.4,1.8
MESA,2,-119.806366700227,34.4137833322391,90,2018-09-13,7.2,2.4
MESA,3,-119.802383300111,34.4145000025963,90,2018-09-14,6,2.4
OAKS,1,-120.18612950695,34.4679509941788,80,2018-09-13,8.8,3.7
OAKS,2,-120.186123456459,34.4681311406467,80,2018-09-13,8.8,3.7
OAKS,3,-120.186117405913,34.4683112871083,80,2018-09-13,8.8,3.7
REFU,1,-120.065900000528,34.4604333289768,NA,2018-10-24,6.7,3
REFU,2,-120.065888963201,34.4607485523668,NA,2018-10-24,6.7,3
REFU,3,-120.061566700173,34.4603166725119,NA,2018-10-24,5.5,3
STEP,1,-119.723916700179,34.3914999982658,120,2018-09-11,6.2,2.4
STEP,2,-119.714566699779,34.393816673324,120,2018-09-11,6.7,2.4
STEP,3,-119.713533300117,34.3930500010047,120,2018-09-11,7.6,2.4
TANK,1,-120.13043329947,34.4705000002293,NA,2018-10-23,7,2.4
TANK,2,-120.129780779886,34.4704846668461,NA,2018-10-23,7,2.4
TANK,3,-120.128283299725,34.4697166702855,NA,2018-10-24,8.2,3
WOOD,1,-119.910416699663,34.4232666731333,90,2018-09-24,11.7,2.1
WOOD,2,-119.906266700048,34.4211666713827,90,2018-09-24,8.7,4.6
WOOD,3,-119.901583299972,34.418550002079,90,2018-09-24,10.2,3.7
