YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,SUBSTRATE_TYPE,PERCENT_COVER
2000,9,2000-09-08,CARP,1,20,I,B,100
2000,9,2000-09-08,CARP,1,20,O,B,100
2000,9,2000-09-08,CARP,1,40,I,B,100
2000,9,2000-09-08,CARP,1,40,O,B,100
2000,9,2000-09-08,CARP,2,20,I,B,90
2000,9,2000-09-08,CARP,2,20,O,B,80
2000,9,2000-09-08,CARP,2,40,I,B,80
2000,9,2000-09-08,CARP,2,40,O,B,85
2000,9,2000-09-08,CARP,3,20,I,B,85
2000,9,2000-09-08,CARP,3,20,O,B,85
2000,9,2000-09-08,CARP,3,40,I,B,95
2000,9,2000-09-08,CARP,3,40,O,B,100
2000,9,2000-09-08,CARP,4,20,I,B,15
2000,9,2000-09-08,CARP,4,20,O,B,100
2000,9,2000-09-08,CARP,4,40,I,B,65
2000,9,2000-09-08,CARP,4,40,O,B,40
2000,9,2000-09-08,CARP,5,20,I,B,90
2000,9,2000-09-08,CARP,5,20,O,B,85
2000,9,2000-09-08,CARP,5,40,I,B,95
2000,9,2000-09-08,CARP,5,40,O,B,80
2000,9,2000-09-08,CARP,6,20,I,B,100
2000,9,2000-09-08,CARP,6,20,O,B,100
2000,9,2000-09-08,CARP,6,40,I,B,90
2000,9,2000-09-08,CARP,6,40,O,B,90
2000,9,2000-09-08,CARP,7,20,I,B,100
2000,9,2000-09-08,CARP,7,20,O,B,55
2000,9,2000-09-08,CARP,7,40,I,B,65
2000,9,2000-09-08,CARP,7,40,O,B,40
2000,9,2000-09-08,CARP,8,20,I,B,80
2000,9,2000-09-08,CARP,8,20,O,B,95
2000,9,2000-09-08,CARP,8,40,I,B,85
2000,9,2000-09-08,CARP,8,40,O,B,95
2000,9,2000-09-18,NAPL,1,20,I,B,95
2000,9,2000-09-18,NAPL,1,20,O,B,100
2000,9,2000-09-18,NAPL,1,40,I,B,100
2000,9,2000-09-18,NAPL,1,40,O,B,85
2000,9,2000-09-18,NAPL,2,20,I,B,100
2000,9,2000-09-18,NAPL,2,20,O,B,100
2000,9,2000-09-18,NAPL,2,40,I,B,100
2000,9,2000-09-18,NAPL,2,40,O,B,100
2000,9,2000-09-18,NAPL,3,20,I,B,100
2000,9,2000-09-18,NAPL,3,20,O,B,95
2000,9,2000-09-18,NAPL,3,40,I,B,100
2000,9,2000-09-18,NAPL,3,40,O,B,100
2000,9,2000-09-18,NAPL,4,20,I,B,5
2000,9,2000-09-18,NAPL,4,20,O,B,0
2000,9,2000-09-18,NAPL,4,40,I,B,20
2000,9,2000-09-18,NAPL,4,40,O,B,15
2000,9,2000-09-22,NAPL,5,20,I,B,100
2000,9,2000-09-22,NAPL,5,20,O,B,100
2000,9,2000-09-22,NAPL,5,40,I,B,100
2000,9,2000-09-22,NAPL,5,40,O,B,95
2000,9,2000-09-22,NAPL,6,20,I,B,95
2000,9,2000-09-22,NAPL,6,20,O,B,95
2000,9,2000-09-22,NAPL,6,40,I,B,90
2000,9,2000-09-22,NAPL,6,40,O,B,85
2000,9,2000-09-22,NAPL,7,20,I,B,90
2000,9,2000-09-22,NAPL,7,20,O,B,100
2000,9,2000-09-22,NAPL,7,40,I,B,100
2000,9,2000-09-22,NAPL,7,40,O,B,100
2000,9,2000-09-22,NAPL,8,20,I,B,100
2000,9,2000-09-22,NAPL,8,20,O,B,100
2000,9,2000-09-22,NAPL,8,40,I,B,85
2000,9,2000-09-22,NAPL,8,40,O,B,90
2000,9,2000-09-28,BULL,1,20,I,B,85
2000,9,2000-09-28,BULL,1,20,O,B,60
2000,9,2000-09-28,BULL,1,40,I,B,60
2000,9,2000-09-28,BULL,1,40,O,B,65
2000,9,2000-09-28,BULL,3,20,I,B,65
2000,9,2000-09-28,BULL,3,20,O,B,50
2000,9,2000-09-28,BULL,3,40,I,B,90
2000,9,2000-09-28,BULL,3,40,O,B,80
2000,9,2000-09-28,BULL,6,20,I,B,40
2000,9,2000-09-28,BULL,6,20,O,B,50
2000,9,2000-09-28,BULL,6,40,I,B,10
2000,9,2000-09-28,BULL,6,40,O,B,35
2001,8,2001-08-07,MOHK,1,20,I,B,80
2001,8,2001-08-07,MOHK,1,20,O,B,85
2001,8,2001-08-07,MOHK,1,40,I,B,85
2001,8,2001-08-07,MOHK,1,40,O,B,90
2001,8,2001-08-07,MOHK,2,20,I,B,95
2001,8,2001-08-07,MOHK,2,20,O,B,90
2001,8,2001-08-07,MOHK,2,40,I,B,85
2001,8,2001-08-07,MOHK,2,40,O,B,90
2001,8,2001-08-08,CARP,3,20,I,B,60
2001,8,2001-08-08,CARP,3,20,O,B,60
2001,8,2001-08-08,CARP,3,40,I,B,75
2001,8,2001-08-08,CARP,3,40,O,B,80
2001,8,2001-08-08,CARP,4,20,I,B,85
2001,8,2001-08-08,CARP,4,20,O,B,90
2001,8,2001-08-08,CARP,4,40,I,B,90
2001,8,2001-08-08,CARP,4,40,O,B,60
2001,8,2001-08-08,CARP,6,20,I,B,95
2001,8,2001-08-08,CARP,6,20,O,B,80
2001,8,2001-08-08,CARP,6,40,I,B,55
2001,8,2001-08-08,CARP,6,40,O,B,70
2001,8,2001-08-09,NAPL,1,20,I,B,100
