"SITE","TRANSECT","SUBSTRATE_TYPE","percent_cover"
"ABUR",1,"B",15
"ABUR",1,"BL",0
"ABUR",1,"BM",0
"ABUR",1,"BS",0
"ABUR",1,"C",0
"ABUR",1,"S",85
"ABUR",1,"SH",0
"ABUR",1,"SS",0
"ABUR",2,"B",73.75
"ABUR",2,"BL",0
"ABUR",2,"BM",0
"ABUR",2,"BS",0
"ABUR",2,"C",0
"ABUR",2,"S",21.25
"ABUR",2,"SH",0
"ABUR",2,"SS",5
"AHND",1,"B",0
"AHND",1,"BL",0
"AHND",1,"BM",0
"AHND",1,"BS",0
"AHND",1,"C",0
"AHND",1,"S",100
"AHND",1,"SH",0
"AHND",1,"SS",0
"AHND",2,"B",0
"AHND",2,"BL",0
"AHND",2,"BM",0
"AHND",2,"BS",0
"AHND",2,"C",0
"AHND",2,"S",100
"AHND",2,"SH",0
"AHND",2,"SS",0
"AQUE",1,"B",58.75
"AQUE",1,"BL",0
"AQUE",1,"BM",0
"AQUE",1,"BS",0
"AQUE",1,"C",0
"AQUE",1,"S",30
"AQUE",1,"SH",0
"AQUE",1,"SS",11.25
"AQUE",2,"B",17.5
"AQUE",2,"BL",0
"AQUE",2,"BM",0
"AQUE",2,"BS",0
"AQUE",2,"C",0
"AQUE",2,"S",76.25
"AQUE",2,"SH",0
"AQUE",2,"SS",6.25
"AQUE",3,"B",10
"AQUE",3,"BL",0
"AQUE",3,"BM",6.25
"AQUE",3,"BS",17.5
"AQUE",3,"C",26.25
"AQUE",3,"S",25
"AQUE",3,"SH",0
"AQUE",3,"SS",15
"AQUE",4,"B",25
"AQUE",4,"BL",7.5
"AQUE",4,"BM",1.25
"AQUE",4,"BS",1.25
"AQUE",4,"C",0
"AQUE",4,"S",50
"AQUE",4,"SH",0
"AQUE",4,"SS",15
"AQUE",5,"B",100
"AQUE",5,"BL",0
"AQUE",5,"BM",0
"AQUE",5,"BS",0
"AQUE",5,"C",0
"AQUE",5,"S",0
"AQUE",5,"SH",0
"AQUE",5,"SS",0
"AQUE",6,"B",51.25
"AQUE",6,"BL",0
"AQUE",6,"BM",0
"AQUE",6,"BS",0
"AQUE",6,"C",2.5
"AQUE",6,"S",5
"AQUE",6,"SH",0
"AQUE",6,"SS",41.25
"BULL",1,"B",67.5
"BULL",1,"BL",0
"BULL",1,"BM",0
"BULL",1,"BS",0
"BULL",1,"C",0
"BULL",1,"S",32.5
"BULL",1,"SH",0
"BULL",1,"SS",0
"BULL",3,"B",45
"BULL",3,"BL",0
"BULL",3,"BM",0
"BULL",3,"BS",0
"BULL",3,"C",0
"BULL",3,"S",53.75
"BULL",3,"SH",0
"BULL",3,"SS",1.25
"BULL",6,"B",33.75
"BULL",6,"BL",0
"BULL",6,"BM",0
"BULL",6,"BS",0
"BULL",6,"C",0
"BULL",6,"S",66.25
"BULL",6,"SH",0
"BULL",6,"SS",0
"CARP",1,"B",100
"CARP",1,"BL",0
"CARP",1,"BM",0
"CARP",1,"BS",0
"CARP",1,"C",0
"CARP",1,"S",0
"CARP",1,"SH",0
"CARP",1,"SS",0
"CARP",2,"B",93.75
"CARP",2,"BL",0
"CARP",2,"BM",0
"CARP",2,"BS",0
"CARP",2,"C",6.25
"CARP",2,"S",0
"CARP",2,"SH",0
"CARP",2,"SS",0
"CARP",3,"B",72.5
"CARP",3,"BL",0
"CARP",3,"BM",1.25
"CARP",3,"BS",0
"CARP",3,"C",21.25
